tWojewodztwo;Powiat;Gmina;Miejscowosc;Dzielnica;ludnosc
KUJAWSKO-POMORSKIE;Bydgoszcz;Bydgoszcz;Bydgoszcz;;324043.0
KUJAWSKO-POMORSKIE;Grudziądz;Grudziądz;Grudziądz;;87696.0
KUJAWSKO-POMORSKIE;Toruń;Toruń;Toruń;;193717.0
KUJAWSKO-POMORSKIE;Włocławek;Włocławek;Włocławek;;99474.0
KUJAWSKO-POMORSKIE;aleksandrowski;Aleksandrów Kujawski;Aleksandrów Kujawski;;11426.0
KUJAWSKO-POMORSKIE;aleksandrowski;Bądkowo;Bądkowo;;
KUJAWSKO-POMORSKIE;aleksandrowski;Ciechocinek;Ciechocinek;;10018.0
KUJAWSKO-POMORSKIE;aleksandrowski;Koneck;Koneck;;
KUJAWSKO-POMORSKIE;aleksandrowski;Nieszawa;Nieszawa;;1747.0
KUJAWSKO-POMORSKIE;aleksandrowski;Raciążek;Raciążek;;
KUJAWSKO-POMORSKIE;aleksandrowski;Waganiec;Waganiec;;
KUJAWSKO-POMORSKIE;aleksandrowski;Zakrzewo;Zakrzewo;;
KUJAWSKO-POMORSKIE;brodnicki;Bartniczka;Bartniczka;;
KUJAWSKO-POMORSKIE;brodnicki;Bobrowo;Bobrowo;;
KUJAWSKO-POMORSKIE;brodnicki;Brodnica;Brodnica;;27940.0
KUJAWSKO-POMORSKIE;brodnicki;Brzozie;Brzozie;;
KUJAWSKO-POMORSKIE;brodnicki;Górzno;Górzno;;1349.0
KUJAWSKO-POMORSKIE;brodnicki;Jabłonowo Pomorskie;Jabłonowo Pomorskie;;3635.0
KUJAWSKO-POMORSKIE;brodnicki;Osiek;Osiek;;
KUJAWSKO-POMORSKIE;brodnicki;Zbiczno;Zbiczno;;
KUJAWSKO-POMORSKIE;brodnicki;Świedziebnia;Świedziebnia;;
KUJAWSKO-POMORSKIE;bydgoski;Białe Błota;Białe Błota;;
KUJAWSKO-POMORSKIE;bydgoski;Dobrcz;Dobrcz;;
KUJAWSKO-POMORSKIE;bydgoski;Dąbrowa Chełmińska;Dąbrowa Chełmińska;;
